Late,by auther,by term,KnownQoute,Version Id,Loaded,Book Title,Author,Date,Length,Edition / Editor,Tags,Status,url
,yes,,,Shamela0023785,yes,0276IbnQutaybaDinawari.ShicrWaShucara,"Ibn Qutayba Dinawari :: Ibn Qutaybaŧ, al-Dīnawarī :: Abū Muḥammad ʿAbd Allāh b. Muslim b. Qutaybaŧ al-Dīnawarī, al-Kūfī, al-Marwazī",276,87982,احمد محمد شاكر :: القاهرة :: 1423 هـ :: دار الحديث :: http://www.worldcat.org/oclc/4771235999 (1423 edition),MARKDOWN :: CENT0300 :: ADAB :: ADAB :: BALAGHA :: SHICR :: GAL@period-classical :: GAL@literature-islamic :: GAL@0750-1000CE :: GAL@literature-arabic :: GAL@philology :: NOMAJORISSUES :: Shamela@الأدب والبلاغة :: born@IraqRE,pri,https://raw.githubusercontent.com/OpenITI/0300AH/master/data/0276IbnQutaybaDinawari/0276IbnQutaybaDinawari.ShicrWaShucara/0276IbnQutaybaDinawari.ShicrWaShucara.Shamela0023785-ara1.mARkdown
,yes,,,Shamela0012129,yes,0276IbnQutaybaDinawari.Macarif,"Ibn Qutayba Dinawari :: Ibn Qutaybaŧ, al-Dīnawarī :: Abū Muḥammad ʿAbd Allāh b. Muslim b. Qutaybaŧ al-Dīnawarī, al-Kūfī, al-Marwazī",276,96494,"ثروت عكاشة :: الهيئة المصرية العامة للكتاب، القاهرة :: http://www.worldcat.org/oclc/4771270313",MARKDOWN :: CENT0300 :: PPE :: ANSAB :: MACAJIM :: TARIKH :: GAL@period-classical :: GAL@literature-islamic :: GAL@0750-1000CE :: GAL@literature-arabic :: GAL@philology :: HTMLTAGS :: Shamela@التاريخ :: born@IraqRE,pri,https://raw.githubusercontent.com/OpenITI/0300AH/master/data/0276IbnQutaybaDinawari/0276IbnQutaybaDinawari.Macarif/0276IbnQutaybaDinawari.Macarif.Shamela0012129-ara1.mARkdown
,yes,,,Kraken210622021802,yes,0375IkhwanSafa.RisalatJamica,Ikhwan Safa ::,375,96944,http://www.worldcat.org/oclc/30425464,INPROGRESS :: :: UNCORRECTEDOCR :: born@IraqRE :: born@BASRA477E304NS,pri,https://raw.githubusercontent.com/OpenITI/0375AH/master/data/0375IkhwanSafa/0375IkhwanSafa.RisalatJamica/0375IkhwanSafa.RisalatJamica.Kraken210622021802-ara1.inProgress
,yes,,,Sham19Y0014462,yes,0463IbnCabdBarr.TaqassiHadithFiMuwatta,Ibn Cabd Barr :: Ibn ʿAbd al-Barr :: Abū ʿUmar Yūsuf b. ʿAbd Allāh b. Muḥammad b. ʿAbd al-Barr al-Qurṭubī al-Namarī,463,113141,"الأولى، 1433 ه - 2012 م :: وزارة الأوقاف والشؤون الإسلامية، الكويت [الإصدار 52 من إصدارات مجلة الوعي الإسلامي]",:: Sham@شروح الحديث :: born@QURTUBA047W379NS :: born@AndalusRE :: died@SHATIBA005W389NS :: resided@QURTUBA047W379NS :: resided@DANIYA001E388NS :: resided@LISHBUNA091W387NS :: resided@SHANTARIN087W392NS :: resided@BALANSIYYA004W394NS :: resided@SHATIBA005W389NS :: visited@ISHBILIYYA059W374NS :: visited@BATALYUS069W388NS,pri,https://raw.githubusercontent.com/OpenITI/0475AH/master/data/0463IbnCabdBarr/0463IbnCabdBarr.TaqassiHadithFiMuwatta/0463IbnCabdBarr.TaqassiHadithFiMuwatta.Sham19Y0014462-ara1
Yes,yes,,yes,Shamela0012031,yes,0597IbnJawzi.SifatSafwa,Ibn Jawzi,597,325496,"أحمد بن علي :: دار الحديث، القاهرة، مصر :: http://www.worldcat.org/oclc/4770538240",MARKDOWN :: BIO :: CENT0600 :: COL :: PPE :: ADAB :: ADHKAR :: FIQH :: MISC :: RAQAIQ :: TABAQAT :: TARAJIM :: TARIKH :: WAFAYAT :: GAL@literature-islamic :: GAL@1000-1258CE :: GAL@polyhistors :: GAL@literature-arabic :: GAL@biography-collective :: GAL@period-postclassical :: GAL@biography :: GAL@encyclopaedias :: MISSINGPARTS :: Shamela@الرقاق والآداب والأذكار :: born@BAGHDAD443E333NS :: born@IraqRE :: died@BAGHDAD443E333NS :: resided@BAGHDAD443E333NS :: resided@WASIT463E321NS,pri,https://raw.githubusercontent.com/OpenITI/0600AH/master/data/0597IbnJawzi/0597IbnJawzi.SifatSafwa/0597IbnJawzi.SifatSafwa.Shamela0012031-ara1.mARkdown
,Yes,Zuhd,yes,JK000055,yes,0181IbnMubarak.Zuhd,Ibn Mubarak,181,136770,حبيب الرحمن الأعظمي :: بيروت :: دار الكتب العلمية,CENT0200 :: AJZA :: AKHLAQ :: HADITH :: GAL@period-classical :: GAL@literature-islamic :: GAL@0750-1000CE :: GAL@hadith :: GAL@literature-arabic :: JK@الأجزاء الموضوعية :: JK@الكتب المسندة :: JK@كتب الأخلاق والسلوك :: JK@مواضيع مسندة في الأخلاق والتزكية :: born@KhurasanRE :: born@MARW621E376NS,pri,https://raw.githubusercontent.com/OpenITI/0200AH/master/data/0181IbnMubarak/0181IbnMubarak.Zuhd/0181IbnMubarak.Zuhd.JK000055-ara1
,Yes,,,Shamela0012221,yes,0279Baladhuri.FutuhBuldan,Baladhuri :: Balāḏurī :: Abū al-Ḥasan Aḥmad b. Yaḥyá b. Jābir b. Dāwůd,279,115884,1988 م :: دار ومكتبة الهلال- بيروت :: http://www.worldcat.org/oclc/1103727759,MARKDOWN :: CENT0300 :: PPE :: BULDAN :: TARIKH :: GAL@historiography :: GAL@period-classical :: GAL@literature-islamic :: GAL@history :: GAL@history-imperial :: GAL@0750-1000CE :: GAL@literature-arabic :: GAL@history-world :: NOMAJORISSUES :: Shamela@التاريخ :: born@BAGHDAD443E333NS :: born@IraqRE :: died@BAGHDAD443E333NS :: died@ʿIrāqRE :: resided@BAGHDAD443E333NS :: visited@RABADHA413E246NS :: visited@DIMASHQ363E335NS :: visited@HIMS367E347NS :: visited@ANTAKIYYA361E361NS :: visited@MANBIJ379E365NS :: visited@HALAB371E361NS :: visited@SAMARRA438E342NS :: visited@ʿIrāqRE :: visited@ŠāmRE,pri,https://raw.githubusercontent.com/OpenITI/0300AH/master/data/0279Baladhuri/0279Baladhuri.FutuhBuldan/0279Baladhuri.FutuhBuldan.Shamela0012221-ara1.mARkdown
,Yes,,,Shamela0010637,yes,0430AbuNucaymIsbahani.DalailNubuwwa,"Abu Nucaym Isbahani :: ʾAbū Nuʿaym al-Iṣbahānī :: ʾAbū Nuʿaym ʾAḥmad b. ʿAbd Āllāh b. Isḥāq b. Mūs/a b. Mihrān al-^Sāfiʿī, al-Iṣbahānī",430,120177,"الدكتور محمد رواس قلعه جي، عبد البر عباس :: دار النفائس، بيروت :: http://www.worldcat.org/oclc/4770249317",COMPLETED :: CENT0500 :: SHAMAIL :: SIRA :: GAL@literature-islamic :: GAL@1000-1258CE :: GAL@hadith :: GAL@literature-arabic :: GAL@period-postclassical :: GAL@persia :: PAGINATION :: HTMLTAGS :: Shamela@السيرة والشمائل :: born@ISBAHAN516E326NS :: born@JibalRE :: died@ISBAHAN516E326NS :: resided@ISBAHAN516E326NS :: visited@NAYSABUR587E361NS :: visited@HAMADHAN485E347NS :: visited@BAGHDAD443E333NS :: visited@ʿIrāqRE :: visited@ḪurāsānRE :: visited@ʿarabRE :: visited@ŠāmRE :: visited@MiṣrRE :: visited@SiqiliyyaŧRE :: visited@AndalusRE,pri,https://raw.githubusercontent.com/OpenITI/0450AH/master/data/0430AbuNucaymIsbahani/0430AbuNucaymIsbahani.DalailNubuwwa/0430AbuNucaymIsbahani.DalailNubuwwa.Shamela0010637-ara1.completed
,yes,,,JK001030,yes,0276IbnQutaybaDinawari.ImamaWaSiyasa,"Ibn Qutayba Dinawari :: Ibn Qutaybaŧ, al-Dīnawarī :: Abū Muḥammad ʿAbd Allāh b. Muslim b. Qutaybaŧ al-Dīnawarī, al-Kūfī, al-Marwazī",276,123762,خليل المنصور :: بيروت :: 1418هـ - 1997م. :: دار الكتب العلمية,COMPLETED :: CENT0300 :: IMAM :: NABI :: SIRA :: SIYASA :: GAL@period-classical :: GAL@literature-islamic :: GAL@0750-1000CE :: GAL@literature-arabic :: GAL@philology :: JK@كتب التراث السياسي :: born@IraqRE,pri,https://raw.githubusercontent.com/OpenITI/0300AH/master/data/0276IbnQutaybaDinawari/0276IbnQutaybaDinawari.ImamaWaSiyasa/0276IbnQutaybaDinawari.ImamaWaSiyasa.JK001030-ara1.completed
,,Zuhd,,Shamela0008494,yes,0241IbnHanbal.Zuhd,Ibn Hanbal :: aḥmad b. ḥanbal :: Abū ʿabd allāh Aḥmad b. muḥammad b. ḥanbal al-šaybānī,241,124635,"دار الكتب العلمية، بيروت - لبنان :: http://www.worldcat.org/oclc/957338288",MARKDOWN :: CENT0300 :: ADAB :: ADHKAR :: RAQAIQ :: GAL@period-classical :: GAL@literature-islamic :: GAL@0750-1000CE :: GAL@literature-arabic :: GAL@lesserschools :: GAL@fiqh :: PAGINATION :: Shamela@الرقاق والآداب والأذكار :: born@BAGHDAD443E333NS :: born@IraqRE :: died@BAGHDAD443E333NS :: resided@BAGHDAD443E333NS :: resided@SAMARRA438E342NS :: visited@KUFA443E320NS :: visited@BASRA477E304NS :: visited@WASIT463E321NS :: visited@MAKKA398E213NS :: visited@MADINA396E244NS :: visited@SANA442E153NS :: visited@ŠāmRE :: visited@AqūrRE,pri,https://raw.githubusercontent.com/OpenITI/0250AH/master/data/0241IbnHanbal/0241IbnHanbal.Zuhd/0241IbnHanbal.Zuhd.Shamela0008494-ara1.mARkdown
